PreC_#,Team Name,PreC_M,PreC_W,PreC_D,PreC_L,PreC_Dif,PreC_Pt,PreC_F,PreC_A,Final_#,PostC_M,PostC_W,PostC_D,PostC_L,PostC_Dif,PostC_Pt,PostC_F,PostC_A,PostC_PPG,PreC_PPG,PPG_Diff,season
10,Sampdoria,26,9,8,9,-1,35,31,32,10,12,3,4,5,-5,13,18,23,1.08,1.35,-0.27,2016-2017
11,Chievo Verona,26,10,5,11,-6,35,28,34,14,12,2,2,8,-12,8,15,27,0.67,1.35,-0.68,2016-2017
12,Cagliari Calcio,26,9,4,13,-17,31,35,52,11,12,5,1,6,-4,16,20,24,1.33,1.19,0.14,2016-2017
13,Sassuolo Calcio,26,9,3,14,-7,30,35,42,12,12,4,4,4,2,16,23,21,1.33,1.15,0.18,2016-2017
14,Udinese Calcio,26,8,5,13,-7,29,28,35,13,12,4,4,4,-2,16,19,21,1.33,1.12,0.21,2016-2017
15,Bologna FC,26,7,7,12,-15,28,24,39,15,12,4,1,7,-3,13,16,19,1.08,1.08,0.0,2016-2017
16,Genoa CFC,26,6,8,12,-13,26,28,41,16,12,3,1,8,-13,10,10,23,0.83,1.0,-0.17,2016-2017
17,Empoli FC,26,5,7,14,-22,22,15,37,18,12,3,1,8,-10,10,14,24,0.83,0.85,-0.02,2016-2017
18,US Palermo,26,3,6,17,-28,15,22,50,19,12,3,2,7,-16,11,11,27,0.92,0.58,0.34,2016-2017
19,FC Crotone,26,3,4,19,-24,13,21,45,17,12,6,3,3,0,21,13,13,1.75,0.5,1.25,2016-2017
20,Pescara Calcio,26,2,6,18,-30,12,27,57,20,12,1,3,8,-14,6,10,24,0.5,0.46,0.04,2016-2017
1,Juventus,26,18,4,4,31,58,46,15,1,12,11,0,1,24,33,29,5,2.75,2.23,0.52,2015-2016
2,SSC Napoli,26,17,6,3,33,57,54,21,2,12,8,1,3,15,25,26,11,2.08,2.19,-0.11,2015-2016
3,ACF Fiorentina,26,16,4,6,21,52,47,26,5,12,2,6,4,-3,12,13,16,1.0,2.0,-1.0,2015-2016
4,AS Roma,26,14,8,4,25,50,52,27,3,12,9,3,0,17,30,31,14,2.5,1.92,0.58,2015-2016
5,Inter,26,14,6,6,11,48,34,23,4,12,6,1,5,1,19,16,15,1.58,1.85,-0.27,2015-2016
6,AC Milan,26,12,8,6,10,44,38,28,7,12,3,4,5,-4,13,11,15,1.08,1.69,-0.61,2015-2016
7,Sassuolo Calcio,26,9,11,6,1,38,32,31,6,12,7,2,3,8,23,17,9,1.92,1.46,0.46,2015-2016
8,Lazio Roma,26,10,7,9,0,37,34,34,8,12,5,2,5,0,17,18,18,1.42,1.42,0.0,2015-2016
9,Bologna FC,26,10,4,12,-2,34,29,31,14,12,1,5,6,-10,8,4,14,0.67,1.31,-0.64,2015-2016
10,Empoli FC,26,9,7,10,-5,34,32,37,10,12,3,3,6,-4,12,8,12,1.0,1.31,-0.31,2015-2016
11,Torino FC,26,8,8,10,0,32,33,33,12,12,4,1,7,-3,13,19,22,1.08,1.23,-0.15,2015-2016
12,Chievo Verona,26,8,7,11,-5,31,31,36,9,12,5,4,3,3,19,12,9,1.58,1.19,0.39,2015-2016
13,Atalanta,26,7,8,11,-5,29,25,30,13,12,4,4,4,-1,16,16,17,1.33,1.12,0.21,2015-2016
14,Genoa CFC,26,7,7,12,-4,28,27,31,11,12,6,0,6,1,18,18,17,1.5,1.08,0.42,2015-2016
15,Udinese Calcio,26,7,6,13,-18,27,22,40,17,12,3,3,6,-7,12,13,20,1.0,1.04,-0.04,2015-2016
16,US Palermo,26,7,5,14,-20,26,27,47,16,12,3,4,5,-7,13,11,18,1.08,1.0,0.08,2015-2016
17,Sampdoria,26,6,7,13,-9,25,37,46,15,12,4,3,5,-4,15,11,15,1.25,0.96,0.29,2015-2016
18,Frosinone Calcio,26,6,5,15,-25,23,26,51,19,12,2,2,8,-16,8,9,25,0.67,0.88,-0.21,2015-2016
19,Carpi FC,26,4,8,14,-20,20,23,43,18,12,5,3,4,0,18,14,14,1.5,0.77,0.73,2015-2016
20,Hellas Verona,26,2,12,12,-19,18,24,43,20,12,3,1,8,-10,10,10,20,0.83,0.69,0.14,2015-2016
1,Juventus,26,18,7,1,39,61,53,14,1,12,8,2,2,9,26,19,10,2.17,2.35,-0.18,2014-2015
2,AS Roma,26,13,11,2,19,50,38,19,2,12,6,2,4,4,20,16,12,1.67,1.92,-0.25,2014-2015
3,Lazio Roma,26,14,4,8,20,46,47,27,3,12,7,2,3,13,23,24,11,1.92,1.77,0.15,2014-2015
4,SSC Napoli,26,13,7,6,13,46,46,33,5,12,5,2,5,3,17,24,21,1.42,1.77,-0.35,2014-2015
5,ACF Fiorentina,26,11,9,6,9,42,37,28,4,12,7,1,4,6,22,24,18,1.83,1.62,0.21,2014-2015
6,Sampdoria,26,10,12,4,6,42,34,28,7,12,3,5,4,0,14,14,14,1.17,1.62,-0.45,2014-2015
7,Genoa CFC,26,10,10,6,9,40,39,30,6,12,6,1,5,6,19,23,17,1.58,1.54,0.04,2014-2015
